,Date,Year,Month,Day,Min Temp,Max Temp,Total Precipitation,Max Gust,Min Humidity,Max Humidity,Min Wind Speed,Max Wind Speed,Min Visibility,Max Visibility,Min Pressure,Max Pressure,Condition
162,2013-06-13,2013,6,13,14.3,22.7,10.6,35,54.0,93.0,4.0,23.0,9.7,24.1,98.21,98.9,1
163,2013-06-14,2013,6,14,13.0,22.6,0.0,43,50.0,90.0,10.0,32.0,19.3,24.1,98.94,99.58,0
164,2013-06-15,2013,6,15,10.1,25.8,0.0,44,34.0,74.0,4.0,30.0,24.1,24.1,99.31,99.74,0
165,2013-06-16,2013,6,16,16.4,26.1,9.6,46,51.0,94.0,5.0,31.0,3.2,24.1,98.54,99.24,1
166,2013-06-17,2013,6,17,14.5,24.7,0.0,33,48.0,84.0,7.0,23.0,24.1,24.1,98.91,99.4,0
167,2013-06-18,2013,6,18,12.2,21.2,0.2,44,36.0,88.0,4.0,32.0,19.3,24.1,99.3,99.75,1
168,2013-06-19,2013,6,19,9.9,19.0,0.0,<31,41.0,70.0,3.0,23.0,24.1,24.1,99.77,100.19,0
169,2013-06-20,2013,6,20,11.0,23.1,0.0,32,37.0,76.0,1.0,18.0,24.1,24.1,100.18,100.38,0
170,2013-06-21,2013,6,21,14.8,25.9,0.0,32,34.0,72.0,0.0,18.0,24.1,24.1,100.07,100.39,0
171,2013-06-22,2013,6,22,17.0,27.0,8.0,35,57.0,89.0,2.0,14.0,11.3,24.1,99.52,100.04,1
172,2013-06-23,2013,6,23,18.5,32.1,0.0,46,46.0,94.0,1.0,31.0,6.4,24.1,99.42,99.71,0
173,2013-06-24,2013,6,24,21.7,31.8,0.0,43,48.0,84.0,8.0,27.0,12.9,24.1,99.2,99.59,0
174,2013-06-25,2013,6,25,20.5,28.7,4.2,43,58.0,92.0,5.0,31.0,12.9,24.1,98.82,99.28,1
175,2013-06-26,2013,6,26,19.9,31.0,0.0,32,39.0,91.0,3.0,20.0,24.1,24.1,98.76,98.92,0
176,2013-06-27,2013,6,27,18.6,24.5,0.0,32,62.0,86.0,1.0,24.0,19.3,24.1,98.38,98.84,0
177,2013-06-28,2013,6,28,17.3,22.5,16.2,<31,72.0,93.0,4.0,19.0,8.1,24.1,97.93,98.35,1
178,2013-06-29,2013,6,29,16.5,24.1,0.0,43,60.0,90.0,2.0,29.0,16.1,24.1,97.94,98.59,1
179,2013-06-30,2013,6,30,15.6,25.6,0.0,35,55.0,89.0,1.0,25.0,24.1,24.1,98.61,99.38,0
180,2013-07-01,2013,7,1,16.3,23.8,0.0,39,41.0,68.0,12.0,27.0,16.1,24.1,99.4,99.87,0
181,2013-07-02,2013,7,2,17.0,22.9,0.0,33,53.0,84.0,6.0,19.0,12.9,24.1,99.72,99.9,0
182,2013-07-03,2013,7,3,17.8,26.5,1.2,<31,69.0,90.0,1.0,16.0,8.1,19.3,99.8,100.07,0
183,2013-07-04,2013,7,4,20.5,28.3,3.2,33,59.0,94.0,1.0,23.0,6.4,24.1,99.84,100.07,1
185,2013-07-06,2013,7,6,19.1,29.0,0.4,<31,52.0,91.0,5.0,21.0,19.3,24.1,99.6,99.98,0
186,2013-07-07,2013,7,7,20.6,27.8,26.6,41,72.0,95.0,1.0,21.0,4.8,24.1,99.32,99.7,1
187,2013-07-08,2013,7,8,19.6,29.1,126.0,59,64.0,95.0,2.0,39.0,1.2,24.1,99.44,99.71,1
188,2013-07-09,2013,7,9,19.9,25.4,0.6,<31,80.0,95.0,1.0,15.0,4.8,19.3,99.16,99.61,1
190,2013-07-11,2013,7,11,15.7,25.4,0.0,39,49.0,77.0,17.0,34.0,24.1,24.1,99.07,99.71,0
191,2013-07-12,2013,7,12,15.2,25.2,0.0,32,56.0,86.0,3.0,22.0,24.1,24.1,99.72,100.15,0
192,2013-07-13,2013,7,13,16.0,27.4,0.0,32,49.0,86.0,4.0,18.0,24.1,24.1,100.15,100.38,0
193,2013-07-14,2013,7,14,19.2,29.7,0.0,<31,52.0,83.0,3.0,13.0,24.1,24.1,100.34,100.56,0
194,2013-07-15,2013,7,15,22.0,31.2,0.0,<31,44.0,77.0,1.0,16.0,24.1,24.1,100.33,100.58,0
