,Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
0,-79.63,43.68,TORONTO INTL A,6158731,2013-01-01,2013,1,1,,,,,,,,,,,,,,,,,,,,,,,
1,-79.63,43.68,TORONTO INTL A,6158731,2013-01-02,2013,1,2,,,,,,,,,,,,,,,,,,,,,,,
2,-79.63,43.68,TORONTO INTL A,6158731,2013-01-03,2013,1,3,,,,,,,,,,,,,,,,,,,,,,,
3,-79.63,43.68,TORONTO INTL A,6158731,2013-01-04,2013,1,4,,,,,,,,,,,,,,,,,,,,,,,
4,-79.63,43.68,TORONTO INTL A,6158731,2013-01-05,2013,1,5,,,,,,,,,,,,,,,,,,,,,,,
5,-79.63,43.68,TORONTO INTL A,6158731,2013-01-06,2013,1,6,,,,,,,,,,,,,,,,,,,,,,,
6,-79.63,43.68,TORONTO INTL A,6158731,2013-01-07,2013,1,7,,,,,,,,,,,,,,,,,,,,,,,
7,-79.63,43.68,TORONTO INTL A,6158731,2013-01-08,2013,1,8,,,,,,,,,,,,,,,,,,,,,,,
8,-79.63,43.68,TORONTO INTL A,6158731,2013-01-09,2013,1,9,,,,,,,,,,,,,,,,,,,,,,,
9,-79.63,43.68,TORONTO INTL A,6158731,2013-01-10,2013,1,10,,,,,,,,,,,,,,,,,,,,,,,
10,-79.63,43.68,TORONTO INTL A,6158731,2013-01-11,2013,1,11,,,,,,,,,,,,,,,,,,,,,,,
11,-79.63,43.68,TORONTO INTL A,6158731,2013-01-12,2013,1,12,,,,,,,,,,,,,,,,,,,,,,,
12,-79.63,43.68,TORONTO INTL A,6158731,2013-01-13,2013,1,13,,,,,,,,,,,,,,,,,,,,,,,
13,-79.63,43.68,TORONTO INTL A,6158731,2013-01-14,2013,1,14,,,,,,,,,,,,,,,,,,,,,,,
14,-79.63,43.68,TORONTO INTL A,6158731,2013-01-15,2013,1,15,,,,,,,,,,,,,,,,,,,,,,,
15,-79.63,43.68,TORONTO INTL A,6158731,2013-01-16,2013,1,16,,,,,,,,,,,,,,,,,,,,,,,
16,-79.63,43.68,TORONTO INTL A,6158731,2013-01-17,2013,1,17,,,,,,,,,,,,,,,,,,,,,,,
17,-79.63,43.68,TORONTO INTL A,6158731,2013-01-18,2013,1,18,,,,,,,,,,,,,,,,,,,,,,,
18,-79.63,43.68,TORONTO INTL A,6158731,2013-01-19,2013,1,19,,,,,,,,,,,,,,,,,,,,,,,
19,-79.63,43.68,TORONTO INTL A,6158731,2013-01-20,2013,1,20,,,,,,,,,,,,,,,,,,,,,,,
20,-79.63,43.68,TORONTO INTL A,6158731,2013-01-21,2013,1,21,,,,,,,,,,,,,,,,,,,,,,,
21,-79.63,43.68,TORONTO INTL A,6158731,2013-01-22,2013,1,22,,,,,,,,,,,,,,,,,,,,,,,
