"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-79.63","43.68","TORONTO INTL A","6158731","2020-10-01 00:00","2020","10","01","00:00","11.2","","9.3","","88","","","","23","","14","","24.1","","98.38","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2020-10-01 01:00","2020","10","01","01:00","11.0","","9.2","","89","","","","25","","25","","24.1","","98.44","","","","","","Mostly Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2020-10-01 02:00","2020","10","01","02:00","11.1","","9.3","","89","","","","25","","18","","24.1","","98.49","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2020-10-01 03:00","2020","10","01","03:00","11.2","","9.1","","87","","","","25","","18","","24.1","","98.53","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2020-10-01 04:00","2020","10","01","04:00","10.2","","8.6","","90","","","","24","","16","","24.1","","98.61","","","","","","Mainly Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2020-10-01 05:00","2020","10","01","05:00","10.2","","8.8","","91","","","","24","","17","","24.1","","98.70","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2020-10-01 06:00","2020","10","01","06:00","9.4","","8.3","","93","","","","24","","14","","24.1","","98.75","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2020-10-01 07:00","2020","10","01","07:00","10.5","","8.2","","86","","","","25","","18","","24.1","","98.82","","","","","","Mainly Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2020-10-01 08:00","2020","10","01","08:00","12.5","","9.5","","82","","","","24","","18","","24.1","","98.86","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2020-10-01 09:00","2020","10","01","09:00","13.5","","9.2","","75","","","","26","","25","","24.1","","98.92","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2020-10-01 10:00","2020","10","01","10:00","15.0","","8.2","","63","","","","25","","30","","24.1","","98.95","","","","","","Mostly Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2020-10-01 11:00","2020","10","01","11:00","15.3","","7.5","","59","","","","26","","27","","24.1","","99.00","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2020-10-01 12:00","2020","10","01","12:00","16.0","","7.3","","56","","","","26","","27","","24.1","","99.03","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2020-10-01 13:00","2020","10","01","13:00","14.5","","7.8","","64","","","","24","","21","","24.1","","99.04","","","","","","Mostly Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2020-10-01 14:00","2020","10","01","14:00","17.8","","6.0","","46","","","","25","","30","","24.1","","99.00","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2020-10-01 15:00","2020","10","01","15:00","17.7","","5.0","","43","","","","26","","23","","24.1","","99.02","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2020-10-01 16:00","2020","10","01","16:00","16.9","","5.2","","45","","","","24","","13","","24.1","","99.03","","","","","","Mostly Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2020-10-01 17:00","2020","10","01","17:00","15.8","","5.7","","51","","","","27","","9","","24.1","","99.07","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2020-10-01 18:00","2020","10","01","18:00","12.6","","7.4","","71","","","","23","","19","","24.1","","99.15","","","","","","Rain Showers"
"-79.63","43.68","TORONTO INTL A","6158731","2020-10-01 19:00","2020","10","01","19:00","12.4","","6.3","","66","","","","22","","9","","24.1","","99.15","","","","","","Mostly Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2020-10-01 20:00","2020","10","01","20:00","11.7","","6.5","","70","","","","28","","17","","24.1","","99.24","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2020-10-01 21:00","2020","10","01","21:00","10.5","","6.3","","75","","","","29","","14","","24.1","","99.21","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2020-10-01 22:00","2020","10","01","22:00","10.5","","6.5","","76","","","","18","","8","","24.1","","99.24","","","","","","Mostly Cloudy"
